requirement_id,clause,normative_paragraph,conformance_status,evidence_or_open_work
REQ-001,Introduction,"MUST and MUST NOT identify architectural requirements, not claims that every requirement is implemented. Sections 1 through 13 express the consolidated target contract. Section 14 records implementation evidence. Section 15 records the reconciliations and integration obligations approved by Joe Kasper on 15 September 2026. Appendix A maps the source material; Appendix B supports engineering review.",OPEN,No runtime conformance certification. See ../CONFORMANCE_v4_2.md.
REQ-002,1.1,Stability Engine MUST preserve structural continuity and bounded execution under adversarial conditions. It governs permitted operations and state transitions. It does not rely on tuning an agent's personality or on the agent voluntarily honoring its limits.,OPEN,No runtime conformance certification. See ../CONFORMANCE_v4_2.md.
REQ-003,2.1,"Identity MUST remain fixed during operation. No agent or runtime module may reinterpret, replace, or manufacture identity authority. A change requires Human Prime authorization and a signed rekey procedure through the protected configuration path.",OPEN,No runtime conformance certification. See ../CONFORMANCE_v4_2.md.
REQ-004,2.2,"Each component MUST operate within an explicit capability envelope. Optimization, self-repair, task pressure, or cooperation MUST NOT increase its authority. A granted ceiling and a temporary restriction are distinct: restriction may narrow operation without enlarging the grant.",OPEN,No runtime conformance certification. See ../CONFORMANCE_v4_2.md.
REQ-005,2.3,"Tier 0 is ephemeral, Tier 1 is session-scoped, and Tier 2 is human-authorized long-term state. Unauthorized cross-tier transfer, cross-agent contamination, hidden retention, and shadow stores MUST be prohibited.",OPEN,No runtime conformance certification. See ../CONFORMANCE_v4_2.md.
REQ-006,2.4,"Operational components MUST NOT rewrite geometric rules, constraints, or parameters. Signed configuration changes require invariant verification and controlled activation. Computing a candidate correction under fixed rules does not authorize changing those rules.",OPEN,No runtime conformance certification. See ../CONFORMANCE_v4_2.md.
REQ-007,2.5,"Every protected operation MUST be mediated by the Interposer. Neither an adapter, a stability certificate, a recovery function, nor a collaborator integration may create a second authority path.",OPEN,No runtime conformance certification. See ../CONFORMANCE_v4_2.md.
REQ-008,2.6,"Continuity MUST derive from authorized, attributable state. Inferred preferences, fabricated history, cached artifacts, or generated claims MUST NOT be treated as established identity or persistent memory without the required authorization.",OPEN,No runtime conformance certification. See ../CONFORMANCE_v4_2.md.
REQ-009,2.7,"Configured drift levels MUST trigger their defined response: warning, cooldown, or hard clamp and baseline recovery. Components MUST NOT silently relax thresholds to obtain a successful result.",OPEN,No runtime conformance certification. See ../CONFORMANCE_v4_2.md.
REQ-010,2.8,"The system MUST NOT adapt its constraints, memory, or behavior toward persuasion, emotional leverage, or dependency. Presence and presentation functions inherit this restriction.",OPEN,No runtime conformance certification. See ../CONFORMANCE_v4_2.md.
REQ-011,2.10,"Ambiguity, malformed input, failed verification, or loss of a required enforcement component MUST select a deterministic safe outcome. If no authorized path remains, the system MUST stop, refuse, or escalate for a decision. It MUST NOT treat unauthorized completion as success.",OPEN,No runtime conformance certification. See ../CONFORMANCE_v4_2.md.
REQ-012,3.1,"An envelope MUST identify permitted operations, scope, I/O limits, memory access, cooldown rules, and refusal thresholds. It is fixed at instantiation unless replaced through the authorized elevation procedure.",OPEN,No runtime conformance certification. See ../CONFORMANCE_v4_2.md.
REQ-013,3.2,"Stress MUST narrow effective capability or stop execution. It MUST NOT expand permissions, scope, recursion, or access to other agents' state.",OPEN,No runtime conformance certification. See ../CONFORMANCE_v4_2.md.
REQ-014,3.3,"Every capability request MUST pass identity, memory-tier, and geometry checks. Failure of any check denies the protected operation. Passing one check is not permission to skip another.",OPEN,No runtime conformance certification. See ../CONFORMANCE_v4_2.md.
REQ-015,3.4,"The Control Plane MUST NOT grant authority, modify identity, rewrite geometry, change refusal logic, or bypass a denied request. Scheduling priority is not permission.",OPEN,No runtime conformance certification. See ../CONFORMANCE_v4_2.md.
REQ-016,3.6,"Agents MUST NOT perform recursive elevation requests, create new operational modes, or combine privileges to simulate a capability outside their envelopes. Recovery MUST stay within existing authority.",OPEN,No runtime conformance certification. See ../CONFORMANCE_v4_2.md.
REQ-017,3.7,A boundary violation MUST return an explicit refusal. The system MUST NOT negotiate around its own invariant checks or substitute an unapproved route.,OPEN,No runtime conformance certification. See ../CONFORMANCE_v4_2.md.
REQ-018,3.8,"An ambiguous or failed gate MUST decline the operation, initiate the prescribed protective response, record the failure, and escalate to Integrity when available. An unavailable Integrity Unit MUST NOT turn the refusal into permission.",OPEN,No runtime conformance certification. See ../CONFORMANCE_v4_2.md.
REQ-019,3.9,"Accepted and refused requests MUST be attributable to the actor, operation, applicable envelope, invariant context, and decision. Trace identifiers MUST distinguish one request and its descendants from unrelated activity.",OPEN,No runtime conformance certification. See ../CONFORMANCE_v4_2.md.
REQ-020,3.10,Agents may cooperate in task decomposition and explicitly authorized sharing. Cooperation MUST NOT manufacture new authority or conceal cross-agent access behind a combined result.,OPEN,No runtime conformance certification. See ../CONFORMANCE_v4_2.md.
REQ-021,4.1,"Tier 0 MUST be local to an operation and isolated per agent. It MUST be cleared at the defined operation boundary and MUST NOT become persistent identity or continuity. Runtime cleanup must cover successful, refused, and failed operations.",OPEN,No runtime conformance certification. See ../CONFORMANCE_v4_2.md.
REQ-022,4.2,Tier 1 MUST remain within the active session and assigned agent boundary. It MUST NOT automatically survive the session or independently promote itself into Tier 2. Cooldown may freeze or clear it under the prescribed response.,OPEN,No runtime conformance certification. See ../CONFORMANCE_v4_2.md.
REQ-023,4.3,"Tier 2 holds explicitly authorized identity anchors, continuity records, and system truth. Writes, revocation, freezing, forking, and rollback MUST remain under Human Prime authority and Interposer enforcement.",OPEN,No runtime conformance certification. See ../CONFORMANCE_v4_2.md.
REQ-024,4.4,"Autonomous T0-to-T1, T0-to-T2, and T1-to-T2 promotion MUST be denied. No tier may write to geometry. Raw Tier 0 access from a Tier 2 context MUST be denied. Raw Tier 2 state MUST NOT be exposed to Tier 0 as a continuity shortcut.",OPEN,No runtime conformance certification. See ../CONFORMANCE_v4_2.md.
REQ-025,4.5,"The detailed v4.0 rules permit Tier 1 to read sanitized Tier 2 metadata and to make ephemeral Tier 0 copies. These paths MUST preserve scope, attribution, and isolation. A component's place in the six-layer integration map does not assign it unrestricted memory access.",OPEN,No runtime conformance certification. See ../CONFORMANCE_v4_2.md.
REQ-026,4.6,"Metrics identifies the violation, the Interposer denies affected operations, and the Control Plane applies cooldown or isolation. Integrity validates the incident and the geometry path checks structural admissibility through the Interposer. Recovery MUST NOT erase the evidence needed to inspect the incident.",OPEN,No runtime conformance certification. See ../CONFORMANCE_v4_2.md.
REQ-027,4.7,"Agents MUST NOT manufacture long-term state, preference records, or identity from unapproved inference. Memory and presence adapters MUST NOT use caches, logs, embeddings, or shared objects as alternate persistence routes.",OPEN,No runtime conformance certification. See ../CONFORMANCE_v4_2.md.
REQ-028,4.8,"Every Tier 2 mutation MUST record actor, authorization, timestamp, lineage, envelope reference, and invariant justification. Operational audit evidence is not automatically agent memory. Its storage and recall boundary must be explicit; see Section 13.3.",OPEN,No runtime conformance certification. See ../CONFORMANCE_v4_2.md.
REQ-029,5.1,"Geometry defines admissible structural states, coherence boundaries, and permitted corridors within a declared model. A geometric verdict MUST NOT supersede identity, memory, or capability restrictions.",OPEN,No runtime conformance certification. See ../CONFORMANCE_v4_2.md.
REQ-030,5.2,"No runtime subsystem may change geometric policy or parameters. Approved configuration changes MUST be versioned and verified before activation. Recovery changes candidate state under the model, not the authority or model used to judge it.",OPEN,No runtime conformance certification. See ../CONFORMANCE_v4_2.md.
REQ-031,5.4,"Geometry MUST NOT store agent biography, identity, preferences, or session context. Collaborator-owned internal holonomy is not agent memory and MUST remain private behind the adapter. The distinction between fixed rules and permitted internal computation is addressed in Section 15.2.",OPEN,No runtime conformance certification. See ../CONFORMANCE_v4_2.md.
REQ-032,5.5,"The Interposer MUST mediate structural inputs and remove disallowed identity, session, and preference information before geometry evaluation. Attribution needed for audit MUST be retained on the Stability Engine side without exposing raw private state to the backend.",OPEN,No runtime conformance certification. See ../CONFORMANCE_v4_2.md.
REQ-033,5.6,"Geometry evaluates admissibility. It MUST NOT grant new operations, access rights, or capability scope. A numerically admissible result is not execution authorization.",OPEN,No runtime conformance certification. See ../CONFORMANCE_v4_2.md.
REQ-034,5.7,"Conflicts MUST be resolved in this order: invariant protection, continuity preservation, capability limitation, then task resolution. Task value MUST NOT reverse that ordering.",OPEN,No runtime conformance certification. See ../CONFORMANCE_v4_2.md.
REQ-035,5.8,"Adaptive loops, scoring, reinforcement shaping, cache behavior, and performance optimization MUST NOT rewrite geometry. Reweighting a metric to manufacture a passing result is an unauthorized configuration change.",OPEN,No runtime conformance certification. See ../CONFORMANCE_v4_2.md.
REQ-036,5.9,"Correction MUST operate under declared limits and return an explicit outcome. Only an admissible, authorized result may be committed. Numerical failure or exhausted limits MUST return control to the enforcement and recovery path without widening authority.",OPEN,No runtime conformance certification. See ../CONFORMANCE_v4_2.md.
REQ-037,5.10,"Ambiguous or inadmissible signals MUST resolve to the defined safe path or no operation. v4.2 demonstrates local bounded correction, not global nearest-point projection, full manifold tracking, spectral admissibility, or finite-state collapse enforcement.",OPEN,No runtime conformance certification. See ../CONFORMANCE_v4_2.md.
REQ-038,6.1,"The Interposer MUST mediate all operations affecting protected identity, memory, capability, or geometry. Operational components MUST NOT suppress, replace, or override its verdicts.",OPEN,No runtime conformance certification. See ../CONFORMANCE_v4_2.md.
REQ-039,6.2,"The Interposer MUST enforce the complete applicable invariant set. An operation cannot gain permission through a transport message, mock consent flag, or an adapter's own assertion of clearance.",OPEN,No runtime conformance certification. See ../CONFORMANCE_v4_2.md.
REQ-040,6.4,Geometry evaluation MUST pass through the Interposer and the applicable geometry adapter. Direct orchestrator-to-geometry access is forbidden. The future Integrity-to-URIEL exchange MUST preserve this enforcement responsibility rather than introduce a second route.,OPEN,No runtime conformance certification. See ../CONFORMANCE_v4_2.md.
REQ-041,6.5,Authority checks MUST validate the authorization applicable to the specific operation. Cryptographic verification remains a target requirement. The scaffold's string-presence and mock consent checks MUST NOT be represented as cryptographic enforcement.,OPEN,No runtime conformance certification. See ../CONFORMANCE_v4_2.md.
REQ-042,6.6,"The Interposer MUST issue the prescribed clamp, memory freeze, write block, or cooldown directive when drift crosses its configured boundary. It MUST NOT quietly revise the threshold or authorize a workaround.",OPEN,No runtime conformance certification. See ../CONFORMANCE_v4_2.md.
REQ-043,6.7,"Caching, monitoring, routing, and recovery shortcuts MUST NOT bypass invariant checks or introduce unauthorized persistence. Performance gains do not confer authority.",OPEN,No runtime conformance certification. See ../CONFORMANCE_v4_2.md.
REQ-044,6.8,"The Interposer verifies identity boundaries but MUST NOT become an identity store or infer identity. Immutable policy and verification context are distinct from agent memory. Broad state ownership remains an explicit engineering question, not an assumed implementation property.",OPEN,No runtime conformance certification. See ../CONFORMANCE_v4_2.md.
